player_name,position,season,scouting_blurb,Rnd,Pick,Tm,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,-9999,player_id
Jerome Ford,RB,2022,"A running back from , taken in Round 5.0, Pick 156, with strong rushing upside.",5.0,156.0,CLE,22.0,2024.0,0.0,0.0,1.0,10.0,10.0,44.0,0.0,0.0,0.0,0.0,0.0,316.0,1390.0,7.0,81.0,544.0,5.0,1.0,,,Cincinnati,College Stats,FordJe00,forjer001
Montrell Washington,WR,2022,"A wide receiver from , drafted in Round 5.0, Pick 162, known for receiving potential.",5.0,162.0,DEN,23.0,2024.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,4.0,2.0,0.0,,,,Samford,,WashMo00,wasmon001
Kyle Philips,WR,2022,"A wide receiver from , drafted in Round 5.0, Pick 163, known for receiving potential.",5.0,163.0,TEN,23.0,2023.0,0.0,0.0,0.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,259.0,0.0,,,,UCLA,College Stats,PhilKy01,phikyl001
Kyren Williams,RB,2022,"A running back from , taken in Round 5.0, Pick 164, with strong rushing upside.",5.0,164.0,LAR,22.0,2024.0,0.0,1.0,2.0,20.0,20.0,38.0,0.0,0.0,0.0,0.0,0.0,579.0,2582.0,26.0,75.0,464.0,5.0,2.0,,,Notre Dame,College Stats,WillKy02,wilkyr001
Ty Chandler,RB,2022,"A running back from , taken in Round 5.0, Pick 169, with strong rushing upside.",5.0,169.0,MIN,24.0,2024.0,0.0,0.0,0.0,6.0,6.0,37.0,0.0,0.0,0.0,0.0,0.0,164.0,663.0,3.0,27.0,201.0,0.0,3.0,,,North Carolina,College Stats,ChanTy01,chatyy001
Teagan Quitoriano,TE,2022,"A tight end out of , picked in Round 5.0, Pick 170, with solid athletic traits.",5.0,170.0,HOU,22.0,2024.0,0.0,0.0,0.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,146.0,2.0,2.0,,,Oregon St.,College Stats,QuitTe00,quitea001
James Mitchell,TE,2022,"A tight end out of , picked in Round 5.0, Pick 177, with solid athletic traits.",5.0,177.0,DET,23.0,2024.0,0.0,0.0,0.0,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,141.0,1.0,,,,Virginia Tech,College Stats,MitcJa00,mitjam001
Kevin Harris,RB,2022,"A running back from , taken in Round 6.0, Pick 183, with strong rushing upside.",6.0,183.0,NWE,21.0,2023.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,34.0,117.0,2.0,3.0,58.0,0.0,,,,South Carolina,College Stats,HarrKe01,harkev001
Jalen Nailor,WR,2022,"A wide receiver from , drafted in Round 6.0, Pick 191, known for receiving potential.",6.0,191.0,MIN,23.0,2024.0,0.0,0.0,0.0,5.0,5.0,38.0,0.0,0.0,0.0,0.0,0.0,3.0,-4.0,0.0,40.0,622.0,7.0,4.0,,,Michigan St.,College Stats,NailJa00,naijal001
Andrew Ogletree,TE,2022,"A tight end out of , picked in Round 6.0, Pick 192, with solid athletic traits.",6.0,192.0,IND,24.0,2024.0,0.0,0.0,1.0,2.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,256.0,3.0,4.0,,,Youngstown St.,,OgleAn00,ogland001
